Sector,Stock,200d EMA,52-Week High
Technology,AAPL,222.63920495508032,259.81433504408284
Technology,MSFT,413.85230925173295,465.6397765538939
Technology,GOOGL,172.7474275823089,206.81182081300247
Technology,NVDA,122.26725804324882,153.1159160516902
Technology,META,588.9031094205014,740.2514192957425
Banking & Financials,JPM,231.7366074710822,278.53437506010624
Banking & Financials,BAC,42.12770357876605,47.679109407026026
Banking & Financials,WFC,67.78763783883122,81.30000305175781
Banking & Financials,C,68.87912476560255,84.73999786376953
Banking & Financials,GS,542.7533186532625,668.873291015625
Consumer Goods,PG,166.54456190478058,179.99000549316406
Consumer Goods,KO,65.35321441034957,73.94999694824219
Consumer Goods,PEP,156.39994801875346,177.5057232501571
Consumer Goods,MO,50.81480002340482,60.18000030517578
Consumer Goods,MNST,52.82726206720881,60.34000015258789
Pharma & Healthcare,JNJ,154.16370051868728,169.99000549316406
Pharma & Healthcare,PFE,26.253387413485175,30.552501106824536
Pharma & Healthcare,MRNA,56.29111562382233,170.47000122070312
Pharma & Healthcare,LLY,831.0497395469868,969.2515839663524
Pharma & Healthcare,UNH,522.7051380326443,625.646322301415
Energy,XOM,112.72768284355753,124.19937777454071
Energy,CVX,153.10334145283397,168.9600067138672
Energy,COP,105.1596578939936,131.36927222544364
Energy,PSX,128.80638570931185,168.26125085476983
Energy,SLB,42.656567571273335,54.21430439507161
Automobile,TSLA,288.82557391612744,488.5400085449219
Automobile,F,10.27472872041862,13.969704990521619
Automobile,GM,48.700049300400664,60.94701256811401
Automobile,RIVN,12.162528993228765,18.854999542236328
Automobile,LCID,2.723395053099219,4.429999828338623
Retail & E-commerce,AMZN,203.05672443627023,242.52000427246094
Retail & E-commerce,WMT,84.17966179233127,105.01163272209685
Retail & E-commerce,COST,915.4860088416931,1078.22998046875
Retail & E-commerce,TGT,134.53452656535407,167.87723606019992
Retail & E-commerce,HD,379.57835669904784,434.31221031252204
Aerospace & Defense,BA,169.28736190906736,196.9499969482422
Aerospace & Defense,LMT,483.94891544228693,610.5849606655086
Aerospace & Defense,NOC,480.24317614816107,550.7644854028784
Aerospace & Defense,GD,274.628439142103,315.22608172057517
Aerospace & Defense,RTX,119.66843008015871,136.1699981689453
Telecom & Media,VZ,41.24751482410573,47.36000061035156
Telecom & Media,T,22.69053005972254,29.030000686645508
Telecom & Media,DIS,104.75493404582724,118.58999633789062
Telecom & Media,NFLX,838.9288941967641,1064.5
Telecom & Media,CMCSA,37.74944318454436,44.52841189612662
Semiconductors,AMD,130.923022750111,187.27999877929688
Semiconductors,TSM,180.74324657556855,225.52130621451485
Semiconductors,INTC,24.3519613057787,39.0526403426771
Semiconductors,AVGO,183.87942879075,250.44908232333512
Semiconductors,QCOM,164.6665670762425,227.02615003479013
