Stock,Quantity,Buy Price,Last Price
F,37956.0,9.58,9.58
GM,16.0,44.18,44.18
RIVN,69.0,11.21,11.21
LCID,344.0,2.28,2.28
PSX,11.0,98.81,98.81
TSM,7.0,146.8,146.8
COP,13.0,86.29,86.29
PEP,8.0,146.61,146.61
XOM,11.0,104.34,104.34
PG,7.0,163.75,163.75
