Sector,Stock,Price,Liquidity,Weights
Automobile,F,9.58,1.3850918653460183e-11,6.951193699669761
Automobile,GM,44.18,2.611982906029569e-11,7.496847485941787
Automobile,RIVN,11.21,8.351763996914837e-11,7.746450095519838
Automobile,LCID,2.28,1.6509200614714223e-10,7.8581185654238634
Energy,PSX,98.81,4.344418006316906e-11,11.26186298820256
Semiconductors,TSM,146.8,8.18616666169211e-12,11.411945949157788
Energy,COP,86.29,2.0768432701217768e-11,11.446558289318814
Consumer Goods,PEP,146.61,9.588134859579106e-12,11.868888455482093
Energy,XOM,104.34,6.5315055463223556e-12,11.972095770338536
Consumer Goods,PG,163.75,7.330975654367098e-12,11.98603870094496
